43091
89850	000000e	2
124243	00000e	4
124085	0000e	8
124461	000301c	10
102489	000e	19
59283	000k	38
120905	001e	4
67172	002e	3
106602	00a	13
35386	00b	9
50738	00e	84
93994	00h	34
100500	00i	5
41157	00l	18
82357	00m	23
128704	00n	5
67644	00or22725	24
127465	00pm	4
85257	00s	32
18836	01a	32
105713	01b	19
35387	01c	20
82532	01d	9
50739	01e	62
111893	01ev	15
54162	01h	41
118072	01i	13
70258	01j	11
102083	01k	10
18140	01m	91
77201	01n	14
65994	01r	9
86252	01s	21
18837	01t	28
80648	02a	31
80649	02b	20
35388	02e	61
77075	02h	27
139136	02i	5
104732	02k	12
74314	02m	44
43714	02n	26
86253	02s	18
82964	02t	17
70082	03a	25
35389	03b	19
50740	03e	60
91648	03h	24
45886	03m	44
57566	03s	16
127763	041219a	2
105068	04a	10
122140	04b	8
35390	04e	59
105460	04h	24
54288	04m	46
91649	04s	11
127764	050416a	4
92905	050509b	11
71404	050525a	7
127765	050820a	4
26677	051221a	11
116577	052e	8
18838	05a	26
92284	05a15	47
72878	05a19	26
40763	05b	12
103611	05c	22
29450	05c50	32
3668	05ch11231	85
35391	05d	18
50741	05e	63
114056	05ev	21
57567	05h	50
51188	05j	13
82732	05m	53
65995	05r	13
91650	05s	24
102675	05t	35
102998	05µm	14
132692	060607a	4
49812	067me	17
17157	06a	13
117396	06b	13
30206	06ch11357	64
35392	06e	53
71255	06h	21
91651	06m	36
29230	06na25396	44
57954	06or23177	28
91652	06s	13
0	0704.0004	1
554	0704.0039	1
1391	0704.0047	1
1864	0704.0065	1
2300	0704.0089	1
2667	0704.0095	1
3428	0704.0100	1
3669	0704.0106	1
4198	0704.0120	1
4415	0704.0134	1
4831	0704.0136	1
5045	0704.0145	1
5470	0704.0152	1
5654	0704.0208	1
5945	0704.0217	1
6351	0704.0236	1
6685	0704.0248	1
6909	0704.0250	1
7028	0704.0282	1
7143	0704.0304	1
7531	0704.0326	1
7640	0704.0329	1
7710	0704.0335	1
7968	0704.0345	1
8118	0704.0354	1
8150	0704.0356	1
8439	0704.0381	1
8794	0704.0382	1
8851	0704.0406	1
8951	0704.0408	1
9143	0704.0472	1
9294	0704.0589	1
9695	0704.0641	1
9864	0704.0664	1
9942	0704.0667	1
10073	0704.0673	1
10248	0704.0688	1
10441	0704.0707	1
10527	0704.0738	1
10661	0704.0745	1
10786	0704.0778	1
11007	0704.0806	1
11480	0704.0916	1
11614	0704.0918	1
11861	0704.0925	1
12013	0704.0929	1
12334	0704.0947	1
12485	0704.0962	1
12589	0704.0979	1
12794	0704.1011	1
12902	0704.1024	1
13005	0704.1074	1
13190	0704.1114	1
13315	0704.1140	1
13495	0704.1148	1
13646	0704.1274	1
13973	0704.1307	1
14024	0704.1311	1
14151	0704.1324	1
14191	0704.1338	1
14263	0704.1352	1
14371	0704.1358	1
14428	0704.1361	1
14561	0704.1395	1
14685	0704.1466	1
14793	0704.1475	1
14897	0704.1574	1
15052	0704.1584	1
15180	0704.1674	1
15494	0704.1675	1
15644	0704.1703	1
15667	0704.1711	1
15782	0704.1748	1
15906	0704.1754	1
15981	0704.1790	1
16077	0704.1794	1
16195	0704.1865	1
16223	0704.1909	1
16316	0704.1943	1
16492	0704.1946	1
16599	0704.1963	1
16837	0704.2003	1
16932	0704.2029	1
17138	0704.2052	1
17158	0704.2054	1
17827	0704.2064	1
18085	0704.2092	1
18141	0704.2108	1
18275	0704.2128	1
18291	0704.2139	1
18361	0704.2169	1
18571	0704.2317	1
